Year,Race,Driver,Real Time (s),Optimized Time (s),% Gain
2024,Bahrain Grand Prix,VER,5504.74,5110.24,7.17
2024,Bahrain Grand Prix,HAM,5555.07,5286.34,4.84
2024,Bahrain Grand Prix,LEC,5544.41,5244.37,5.41
2024,Saudi Arabian Grand Prix,VER,4493.2,4452.02,0.92
2024,Saudi Arabian Grand Prix,HAM,4557.84,4292.63,5.82
2024,Saudi Arabian Grand Prix,LEC,4516.86,4494.98,0.48
2024,Spanish Grand Prix,VER,5300.23,4994.74,5.76
2024,Spanish Grand Prix,HAM,5318.02,4895.51,7.94
2024,Spanish Grand Prix,LEC,5322.94,4903.8,7.87
